1,119,Fulfilled,COKE2000,,,,,,,,,
2,169,Fulfilled,CHOCOLATE,,,,,,,,,
3,194,Fulfilled,WATCHTIMEX,,,,,,,,,
4,157,Fulfilled,ICECREAMBAR,,,,,,,,,
5,144,Fulfilled,NIKESHOES,,,,,,,,,
6,139,Fulfilled,COKE2000,,,,,,,,,
7,162,Fulfilled,ICECREAMBAR,,,,,,,,,
8,122,Fulfilled,CHOCOLATE,,,,,,,,,
9,125,Fulfilled,COKE2000,,,,,,,,,
10,198,Fulfilled,ICECREAMBAR,,,,,,,,,
11,113,Fulfilled,CHOCOLATE,,,,,,,,,
12,136,Fulfilled,WATCHTIMEX,,,,,,,,,
13,168,Fulfilled,COKE500,,,,,,,,,
14,142,Fulfilled,COKE2000,,,,,,,,,
15,149,Fulfilled,WATCHTIMEX,,,,,,,,,
16,140,Fulfilled,WATCHTIMEX,,,,,,,,,
17,107,Fulfilled,CHOCOLATE,,,,,,,,,
18,124,Fulfilled,ICECREAMBAR,,,,,,,,,
19,102,Fulfilled,NIKESHOES,,,,,,,,,
20,200,Fulfilled,COKE250,,,,,,,,,
21,174,Fulfilled,COKE500,,,,,,,,,
22,103,Fulfilled,COKE2000,,,,,,,,,
23,156,Fulfilled,COKE500,,,,,,,,,
24,165,Fulfilled,COKE2000,,,,,,,,,
25,164,Fulfilled,COKE500,,,,,,,,,
26,161,Fulfilled,TSHIRTMENS,,,,,,,,,
27,159,Fulfilled,COKE2000,,,,,,,,,
28,135,Fulfilled,CHOCOLATE,,,,,,,,,
29,185,Fulfilled,NIKESHOES,,,,,,,,,
30,199,Fulfilled,WATCHTIMEX,,,,,,,,,
31,144,Fulfilled,TSHIRTMENS,,,,,,,,,
32,185,Fulfilled,WATCHTIMEX,,,,,,,,,
33,121,Fulfilled,POTATOCHIPS,,,,,,,,,
34,192,Fulfilled,COKE2000,,,,,,,,,
35,128,Fulfilled,WATCHTIMEX,,,,,,,,,
36,177,Fulfilled,POTATOCHIPS,,,,,,,,,
37,107,Fulfilled,COKE250,,,,,,,,,
38,185,Fulfilled,TSHIRTMENS,,,,,,,,,
39,142,Fulfilled,POTATOCHIPS,,,,,,,,,
40,125,Fulfilled,NIKESHOES,,,,,,,,,
41,192,Fulfilled,NIKESHOES,,,,,,,,,
42,163,Fulfilled,TSHIRTMENS,,,,,,,,,
43,191,Fulfilled,COKE250,,,,,,,,,
44,134,Fulfilled,WATCHTIMEX,,,,,,,,,
45,194,Fulfilled,POTATOCHIPS,,,,,,,,,
46,146,Fulfilled,CHOCOLATE,,,,,,,,,
47,192,Fulfilled,COKE2000,,,,,,,,,
48,112,Fulfilled,ICECREAMBAR,,,,,,,,,
49,145,Fulfilled,CHOCOLATE,,,,,,,,,
50,173,Fulfilled,WATCHTIMEX,,,,,,,,,
51,172,Fulfilled,COKE500,,,,,,,,,
52,122,Fulfilled,COKE250,,,,,,,,,
53,159,Fulfilled,TSHIRTMENS,,,,,,,,,
54,158,Fulfilled,ICECREAMBAR,,,,,,,,,
55,165,Fulfilled,COKE250,,,,,,,,,
56,157,Fulfilled,NIKESHOES,,,,,,,,,
57,181,Fulfilled,POTATOCHIPS,,,,,,,,,
58,143,Fulfilled,POTATOCHIPS,,,,,,,,,
59,192,Fulfilled,POTATOCHIPS,,,,,,,,,
60,105,Fulfilled,ICECREAMBAR,,,,,,,,,
61,188,Fulfilled,TSHIRTMENS,,,,,,,,,
62,190,Fulfilled,COKE250,,,,,,,,,
63,142,Fulfilled,ICECREAMBAR,,,,,,,,,
64,151,Fulfilled,POTATOCHIPS,,,,,,,,,
65,183,Fulfilled,TSHIRTMENS,,,,,,,,,
66,177,Fulfilled,ICECREAMBAR,,,,,,,,,
67,104,Fulfilled,COKE250,,,,,,,,,
68,200,Fulfilled,COKE250,,,,,,,,,
69,116,Fulfilled,COKE250,,,,,,,,,
70,124,Fulfilled,WATCHTIMEX,,,,,,,,,
71,152,Fulfilled,WATCHTIMEX,,,,,,,,,
72,156,Fulfilled,NIKESHOES,,,,,,,,,
73,179,Fulfilled,COKE500,,,,,,,,,
74,122,Fulfilled,COKE250,,,,,,,,,
75,153,Fulfilled,COKE2000,,,,,,,,,
76,146,Fulfilled,NIKESHOES,,,,,,,,,
77,180,Fulfilled,CHOCOLATE,,,,,,,,,
78,106,Fulfilled,COKE250,,,,,,,,,
79,189,Fulfilled,NIKESHOES,,,,,,,,,
80,195,Fulfilled,NIKESHOES,,,,,,,,,
81,104,Fulfilled,WATCHTIMEX,,,,,,,,,
82,107,Fulfilled,WATCHTIMEX,,,,,,,,,
83,106,Fulfilled,CHOCOLATE,,,,,,,,,
84,133,Fulfilled,CHOCOLATE,,,,,,,,,
85,182,Fulfilled,COKE500,,,,,,,,,
86,107,Fulfilled,ICECREAMBAR,,,,,,,,,
87,151,Fulfilled,TSHIRTMENS,,,,,,,,,
88,135,Fulfilled,COKE2000,,,,,,,,,
89,187,Fulfilled,COKE2000,,,,,,,,,
90,101,Fulfilled,COKE250,,,,,,,,,
91,160,Fulfilled,WATCHTIMEX,,,,,,,,,
92,198,Fulfilled,CHOCOLATE,,,,,,,,,
93,104,Fulfilled,ICECREAMBAR,,,,,,,,,
94,177,Fulfilled,COKE2000,,,,,,,,,
95,200,Fulfilled,WATCHTIMEX,,,,,,,,,
96,126,Fulfilled,POTATOCHIPS,,,,,,,,,
97,159,Fulfilled,ICECREAMBAR,,,,,,,,,
98,176,Fulfilled,COKE250,,,,,,,,,
99,148,Fulfilled,WATCHTIMEX,,,,,,,,,
100,143,Fulfilled,POTATOCHIPS,,,,,,,,,
